pair_id,item_id,language_code,language,speaker,category,english,translation,translator_notes
en-ms-001,EN-001,ms,Malay,patient,cold_flu,"Doctor, I've had a runny nose and a blocked nose for about four days now. Since yesterday I've also started sneezing a lot and my throat feels scratchy, especially in the morning. I don't think I have a fever, but I feel very tired and my whole body is aching.","Doktor, hidung saya berair dan tersumbat sudah lebih kurang empat hari. Sejak semalam, saya juga mula banyak bersin dan tekak saya rasa gatal, terutamanya pada waktu pagi. Saya rasa saya tidak demam, tetapi saya berasa sangat letih dan seluruh badan saya sakit-sakit.","'Runny nose' = 'hidung berair', 'blocked nose' = 'tersumbat'; 'selsema' is an acceptable alternative for the runny/blocked nose. 'Scratchy throat' = 'tekak rasa gatal' (alt. 'tekak rasa perit'); 'aching' = 'sakit-sakit' (alt. 'lenguh-lenguh'). Patient uses 'saya'."
en-ms-002,EN-002,ms,Malay,doctor,cold_flu,"From what I can see, this looks like a viral infection of the upper airway, so antibiotics will not help you. I will give you some medicine for the runny nose and lozenges for your throat. Drink plenty of warm water, rest well, and come back if you are not better in five days.","Daripada apa yang saya lihat, ini nampaknya jangkitan virus pada saluran pernafasan atas, jadi antibiotik tidak akan membantu anda. Saya akan beri anda ubat untuk hidung berair dan ubat hisap untuk tekak anda. Minum banyak air suam, berehat secukupnya, dan datang semula jika keadaan anda tidak bertambah baik dalam masa lima hari.","Malaysian/Singapore spelling 'pernafasan' (not Indonesian 'pernapasan'); 'antibiotik' kept as loanword. 'Lozenges' = 'ubat hisap' (alt. 'gula-gula ubat tekak'); 'warm water' = 'air suam'. 'Not better' rendered 'keadaan anda tidak bertambah baik' (alt. 'tidak sembuh', 'tidak beransur pulih')."
en-ms-003,EN-003,ms,Malay,patient,fever,"My temperature has been going up and down for three days. Last night it reached thirty-nine point two degrees. I took two Panadol tablets and it came down a little, but after a few hours the fever came back. I also have chills and I have been sweating a lot at night.","Suhu badan saya naik turun sejak tiga hari lalu. Malam tadi, suhunya mencapai tiga puluh sembilan perpuluhan dua darjah. Saya makan dua biji Panadol dan suhunya turun sedikit, tetapi selepas beberapa jam demam itu datang semula. Saya juga menggigil, dan pada waktu malam saya banyak berpeluh.",Decimal read as 'perpuluhan' (spoken alt. 'titik'); 'Panadol' kept as brand loanword with classifier 'biji' (alt. 'dua tablet Panadol'). 'Took' = 'makan' as patients say for pills (alt. 'ambil'); 'chills' = 'menggigil' (alt. 'menggigil kesejukan').
en-ms-004,EN-004,ms,Malay,doctor,dengue,"Because you have had a high fever for three days with pain behind your eyes and body aches, I am worried this could be dengue. I will send you for a blood test today to check your platelet count. Please avoid ibuprofen and aspirin, and only take paracetamol for the fever.","Oleh sebab anda demam tinggi selama tiga hari, disertai sakit di belakang mata dan sakit-sakit badan, saya bimbang ini mungkin denggi. Saya akan hantar anda untuk ujian darah hari ini untuk memeriksa bilangan platlet anda. Sila elakkan ibuprofen dan aspirin, dan hanya ambil paracetamol untuk demam.",Malay spelling 'denggi' and 'platlet' (alt. 'kiraan platlet' for 'platelet count'). Drug names kept in Latin letters; 'paracetamol' may also be spelled 'parasetamol'. 'High fever' = 'demam tinggi' (alt. 'demam panas').
en-ms-005,EN-005,ms,Malay,patient,sore_throat,"My throat has been very painful for two days, and it hurts so much when I swallow that I can barely eat. When I looked in the mirror, I saw some white spots at the back of my throat. My neck also feels a bit swollen and tender on both sides.","Tekak saya sangat sakit sejak dua hari lalu, dan rasa terlalu sakit apabila saya menelan sehingga saya hampir tidak boleh makan. Apabila saya melihat di cermin, saya nampak beberapa tompok putih di bahagian belakang tekak saya. Leher saya juga rasa agak bengkak dan sakit apabila disentuh pada kedua-dua belah.",'Throat' = 'tekak' (alt. 'kerongkong'); 'white spots' = 'tompok putih' (alt. 'bintik putih'). 'Tender' rendered as 'sakit apabila disentuh' (alt. 'sakit apabila ditekan').
en-ms-006,EN-006,ms,Malay,doctor,sore_throat,"Your tonsils are swollen and there is pus on them, which suggests a bacterial infection. I am going to prescribe a course of antibiotics for seven days. Please finish the whole course even if you feel better after two or three days, otherwise the infection may come back.","Tonsil anda bengkak dan ada nanah padanya, yang menunjukkan jangkitan bakteria. Saya akan berikan anda antibiotik untuk diambil selama tujuh hari. Sila habiskan semua antibiotik itu walaupun anda berasa lebih baik selepas dua atau tiga hari, jika tidak, jangkitan itu mungkin datang semula.","'Tonsils' kept as 'tonsil' (Indonesian 'amandel' avoided); 'pus' = 'nanah', 'bacterial' = 'bakteria'. 'Prescribe a course' rendered naturally as 'berikan anda antibiotik untuk diambil selama tujuh hari' (alt. 'memberi preskripsi antibiotik'); 'finish the whole course' = 'habiskan semua antibiotik itu' (alt. 'habiskan keseluruhan kursus antibiotik')."
en-ms-007,EN-007,ms,Malay,patient,cough,"I have had a cough for almost three weeks now. At the start it was a dry cough, but now I am coughing up yellowish phlegm. The coughing is worse at night and sometimes it keeps me awake. I also feel a bit breathless when I climb the stairs to my flat.","Saya sudah batuk hampir tiga minggu. Pada mulanya batuk kering, tetapi sekarang batuk saya berkahak kekuningan. Batuk saya lebih teruk pada waktu malam dan kadang-kadang membuatkan saya tidak dapat tidur. Saya juga rasa sedikit sesak nafas apabila saya naik tangga ke flat saya.","'Phlegm' = 'kahak'; 'yellowish' = 'kekuningan' (alt. 'kuning', 'kahak warna kuning'). 'Breathless' = 'sesak nafas' (colloquial alt. 'semput'); 'flat' kept as used in Singapore Malay (alt. 'rumah saya')."
en-ms-008,EN-008,ms,Malay,doctor,asthma,"I am going to show you how to use this inhaler properly. First, shake it well, then breathe out fully. Put the mouthpiece in your mouth and press down once while you breathe in slowly and deeply. Then hold your breath for about ten seconds before you breathe out again.","Saya akan tunjukkan kepada anda cara menggunakan inhaler ini dengan betul. Pertama, goncang inhaler ini betul-betul, kemudian hembus nafas sepenuhnya. Letakkan corong inhaler di dalam mulut anda dan tekan sekali sambil anda tarik nafas perlahan-lahan dan dalam-dalam. Kemudian tahan nafas selama lebih kurang sepuluh saat sebelum anda hembus nafas semula.",'Inhaler' kept as the common loanword (formal alt. 'alat sedut'); 'mouthpiece' = 'corong inhaler' (alt. 'bahagian mulut inhaler'). 'Breathe out/in' = 'hembus nafas' / 'tarik nafas'.
en-ms-009,EN-009,ms,Malay,patient,gastroenteritis,"Since yesterday evening I have had diarrhoea about six or seven times, and I vomited twice this morning. I think it might be from the seafood I ate at a hawker centre. I have some stomach cramps, and I feel weak and dizzy when I stand up too quickly.","Sejak petang semalam, saya sudah cirit-birit lebih kurang enam atau tujuh kali, dan saya muntah dua kali pagi tadi. Saya rasa mungkin ini disebabkan oleh makanan laut yang saya makan di pusat penjaja. Perut saya rasa sedikit memulas, dan saya rasa lemah dan pening apabila saya bangun terlalu cepat.","'Diarrhoea' = 'cirit-birit'; 'hawker centre' = 'pusat penjaja' (Singapore speakers often say 'hawker centre' as a loan). 'Stomach cramps' = 'perut memulas' (alt. 'kekejangan perut', 'sakit perut'); 'yesterday evening' = 'petang semalam' (alt. 'malam semalam')."
en-ms-010,EN-010,ms,Malay,doctor,gastroenteritis,"You are a little dehydrated, so the most important thing is to replace the fluids you have lost. Take small sips of this oral rehydration solution frequently throughout the day. Avoid oily and spicy food and milk for now, and come back immediately if you see blood in your stool.","Badan anda sedikit kekurangan air, jadi perkara yang paling penting adalah menggantikan cecair yang telah hilang. Hirup larutan penghidratan semula oral ini sedikit demi sedikit dengan kerap sepanjang hari. Elakkan makanan berminyak, makanan pedas dan susu buat masa ini, dan datang semula dengan segera jika anda nampak darah dalam najis anda.","'Dehydrated' = 'kekurangan air' (alt. 'mengalami dehidrasi'). 'Oral rehydration solution' = 'larutan penghidratan semula oral' as used by health authorities (alts. 'larutan rehidrasi oral', 'ORS', 'air garam'). 'Stool' = 'najis'."
