"item_id","speaker","category","english","ms","ta","zh","my","th","id","hi","fil","vi"
"MED-001","patient","fever","I've had a fever since last night, and this morning my temperature was 38.5 degrees.","Saya demam sejak malam tadi, dan pagi tadi suhu badan saya 38.5 darjah.","நேற்று இரவிலிருந்து எனக்குக் காய்ச்சல் இருக்கிறது, இன்று காலை என் உடல் வெப்பநிலை 38.5 டிகிரி இருந்தது.","我从昨晚开始发烧，今天早上体温是38.5度。","ကျွန်တော် မနေ့ညကတည်းက ဖျားနေတယ်၊ ဒီနေ့မနက် ကိုယ်အပူချိန် 38.5 ဒီဂရီ ရှိတယ်။","ผมเป็นไข้ตั้งแต่เมื่อคืน แล้วเช้านี้วัดไข้ได้ 38.5 องศา","Saya demam sejak tadi malam, dan tadi pagi suhu badan saya 38.5 derajat.","मुझे कल रात से बुखार है, और आज सुबह मेरा टेम्परेचर 38.5 डिग्री था।","May lagnat na po ako mula pa kagabi, at kaninang umaga, 38.5 degrees ang temperatura ko.","Tôi bị sốt từ tối qua, và sáng nay nhiệt độ của tôi là 38.5 độ."
"MED-002","patient","common cold","My nose keeps running and I can't stop sneezing, especially in the morning.","Hidung saya asyik berair dan saya tidak boleh berhenti bersin, terutamanya pada waktu pagi.","என் மூக்கு தொடர்ந்து ஒழுகிக்கொண்டே இருக்கிறது, தும்மலையும் நிறுத்த முடியவில்லை, குறிப்பாகக் காலையில்.","我一直流鼻涕，打喷嚏停不下来，特别是早上。","ကျွန်တော် နှာရည် မပြတ်ယိုနေပြီး နှာချေတာလည်း မရပ်နိုင်ဘူး၊ အထူးသဖြင့် မနက်ပိုင်းမှာပါ။","ผมน้ำมูกไหลตลอด แล้วก็จามไม่หยุด โดยเฉพาะตอนเช้า","Hidung saya terus meler dan saya tidak bisa berhenti bersin, terutama di pagi hari.","मेरी नाक बहती रहती है और मेरी छींकें रुकती नहीं हैं, खासकर सुबह के समय।","Tuloy-tuloy po ang tulo ng sipon ko at hindi ko mapigilang bumahing, lalo na sa umaga.","Tôi cứ bị sổ mũi và hắt hơi không ngừng, nhất là vào buổi sáng."
"MED-003","patient","sore throat","My throat is very sore and it hurts when I swallow food or even water.","Tekak saya sangat sakit dan terasa sakit bila saya menelan makanan, malah air pun.","என் தொண்டை மிகவும் வலிக்கிறது, சாப்பாடு விழுங்கும்போதும், தண்ணீர் விழுங்கும்போது கூட வலிக்கிறது.","我的喉咙很痛，吞食物甚至喝水的时候都会痛。","ကျွန်တော့် လည်ချောင်း အရမ်းနာပြီး အစာ ဒါမှမဟုတ် ရေတောင် မျိုရင် နာတယ်။","ผมเจ็บคอมาก เวลากลืนอาหารหรือแม้แต่น้ำก็เจ็บ","Tenggorokan saya sakit sekali dan terasa sakit saat saya menelan makanan atau bahkan air.","मेरे गले में बहुत दर्द है, और खाना या पानी तक निगलने में दर्द होता है।","Masakit na masakit po ang lalamunan ko at sumasakit ito kapag lumulunok ako ng pagkain o kahit tubig.","Họng tôi rất đau và nuốt thức ăn hay thậm chí nuốt nước cũng thấy đau."
"MED-004","patient","cough","I've been coughing for about two weeks, and sometimes there is yellow phlegm.","Saya sudah batuk selama lebih kurang dua minggu, dan kadang-kadang ada kahak kuning.","சுமார் இரண்டு வாரங்களாக எனக்கு இருமல் இருக்கிறது, சில நேரங்களில் மஞ்சள் சளி வருகிறது.","我咳嗽大概两个星期了，有时候有黄色的痰。","ကျွန်တော် ချောင်းဆိုးနေတာ နှစ်ပတ်လောက် ရှိပြီ၊ တစ်ခါတလေ သလိပ်အဝါ ထွက်တယ်။","ผมไอมาประมาณสองอาทิตย์แล้ว บางครั้งมีเสมหะสีเหลือง","Saya sudah batuk sekitar dua minggu, dan kadang-kadang ada dahak kuning.","मुझे लगभग दो हफ़्ते से खांसी हो रही है, और कभी-कभी पीला बलगम आता है।","Mga dalawang linggo na po akong inuubo, at kung minsan ay may dilaw na plema.","Tôi bị ho khoảng hai tuần nay, và đôi khi có đờm màu vàng."
"MED-005","patient","influenza","My whole body is aching, I feel very tired, and I keep getting chills.","Seluruh badan saya sakit-sakit, saya rasa sangat letih, dan saya asyik rasa seram sejuk.","என் உடல் முழுவதும் வலிக்கிறது, மிகவும் சோர்வாக இருக்கிறது, குளிர் நடுக்கம் வந்துகொண்டே இருக்கிறது.","我全身酸痛，觉得很累，而且一直发冷。","ကျွန်တော် တစ်ကိုယ်လုံး ကိုက်ခဲနေတယ်၊ အရမ်းပင်ပန်းနေတယ်၊ ပြီးတော့ ခဏခဏ ချမ်းတုန်နေတယ်။","ผมปวดเมื่อยไปทั้งตัว รู้สึกเหนื่อยมาก แล้วก็หนาวสั่นอยู่เรื่อยๆ","Seluruh badan saya pegal-pegal, saya merasa sangat lelah, dan saya terus menggigil.","मेरे पूरे शरीर में दर्द हो रहा है, मुझे बहुत थकान लग रही है, और बार-बार ठंड लग रही है।","Masakit po ang buong katawan ko, pagod na pagod ako, at palagi akong ginaginaw.","Tôi bị đau nhức khắp người, cảm thấy rất mệt, và cứ bị ớn lạnh."
"MED-006","doctor","dengue screening","Have you noticed any rashes, bleeding gums, or pain behind your eyes?","Adakah anda perasan sebarang ruam, gusi berdarah, atau sakit di belakang mata?","உங்களுக்கு ஏதாவது தடிப்புகள், ஈறுகளில் இரத்தக் கசிவு, அல்லது கண்களுக்குப் பின்னால் வலி இருப்பதைக் கவனித்தீர்களா?","您有没有发现出疹子、牙龈出血，或者眼睛后面痛？","အဖုအပိမ့်တွေ ထွက်တာ၊ သွားဖုံးက သွေးထွက်တာ ဒါမှမဟုတ် မျက်လုံးနောက်ဘက်မှာ နာတာမျိုး သတိထားမိပါသလား။","คุณสังเกตเห็นว่ามีผื่น เลือดออกตามไรฟัน หรือปวดหลังกระบอกตาบ้างไหม","Apakah Anda melihat ada ruam, gusi berdarah, atau nyeri di belakang mata Anda?","क्या आपने ध्यान दिया है कि कोई दाने निकले हैं, मसूड़ों से खून आया है, या आँखों के पीछे दर्द होता है?","May napansin ba kayong mga pantal, pagdurugo ng gilagid, o pananakit sa likod ng mga mata ninyo?","Anh có thấy bị phát ban, chảy máu chân răng, hoặc đau phía sau mắt không?"
"MED-007","patient","headache","I get headaches almost every afternoon, and painkillers only help for a few hours.","Saya sakit kepala hampir setiap petang, dan ubat tahan sakit hanya membantu selama beberapa jam.","கிட்டத்தட்ட ஒவ்வொரு நாளும் மதிய நேரத்தில் எனக்குத் தலைவலி வருகிறது, வலி நிவாரண மாத்திரைகள் சில மணி நேரம் மட்டுமே உதவுகின்றன.","我几乎每天下午都会头痛，止痛药只能缓解几个小时。","ကျွန်တော် နေ့လယ်ခင်းတိုင်းလိုလို ခေါင်းကိုက်တယ်၊ အကိုက်အခဲပျောက်ဆေးက နာရီအနည်းငယ်ပဲ သက်သာစေတယ်။","ผมปวดหัวเกือบทุกบ่าย แล้วยาแก้ปวดก็ช่วยได้แค่ไม่กี่ชั่วโมง","Saya sakit kepala hampir setiap sore, dan obat pereda nyeri hanya membantu selama beberapa jam.","मुझे लगभग हर दोपहर सिरदर्द होता है, और पेनकिलर से बस कुछ ही घंटों तक आराम रहता है।","Sumasakit po ang ulo ko halos tuwing hapon, at ilang oras lang tumatalab ang mga painkiller.","Hầu như chiều nào tôi cũng bị đau đầu, và thuốc giảm đau chỉ đỡ được vài tiếng."
"MED-008","patient","gastroenteritis","I've had diarrhoea five times since this morning, and I also feel like vomiting.","Saya sudah cirit-birit lima kali sejak pagi tadi, dan saya juga rasa mahu muntah.","இன்று காலையிலிருந்து எனக்கு ஐந்து முறை வயிற்றுப்போக்கு ஆகியிருக்கிறது, வாந்தி வருவது போலவும் இருக்கிறது.","我从今天早上开始已经拉了五次肚子，而且也想吐。","ကျွန်တော် ဒီမနက်ကတည်းက ဝမ်းငါးခါ လျှောပြီးပြီ၊ အန်ချင်သလိုလည်း ဖြစ်နေတယ်။","ตั้งแต่เช้าผมท้องเสียถ่ายไปห้าครั้งแล้ว และรู้สึกอยากอาเจียนด้วย","Saya sudah diare lima kali sejak tadi pagi, dan saya juga merasa ingin muntah.","मुझे आज सुबह से पाँच बार दस्त हो चुके हैं, और मुझे उल्टी जैसा भी लग रहा है।","Limang beses na po akong nagtatae mula kaninang umaga, at parang nasusuka rin ako.","Từ sáng tới giờ tôi bị tiêu chảy năm lần, và tôi cũng thấy buồn nôn."
"MED-009","doctor","hydration advice","Drink plenty of water and oral rehydration salts, and avoid oily or spicy food for a few days.","Minum banyak air dan garam rehidrasi oral, dan elakkan makanan yang berminyak atau pedas selama beberapa hari.","நிறையத் தண்ணீரும் ஓ.ஆர்.எஸ் கரைசலும் குடியுங்கள், சில நாட்களுக்கு எண்ணெய் அல்லது காரமான உணவுகளைத் தவிர்த்துவிடுங்கள்.","多喝水和口服补液盐，接下来几天不要吃油腻或辛辣的食物。","ရေနဲ့ ဓာတ်ဆားရည် များများ သောက်ပါ၊ ပြီးတော့ ရက်အနည်းငယ်လောက် အဆီများတဲ့ ဒါမှမဟုတ် စပ်တဲ့ အစားအစာတွေကို ရှောင်ပါ။","ดื่มน้ำและเกลือแร่เยอะๆ และงดอาหารมันๆ หรือเผ็ดๆ สักสองสามวัน","Minum banyak air dan oralit, dan hindari makanan berminyak atau pedas selama beberapa hari.","खूब पानी और ओआरएस का घोल पिएँ, और कुछ दिनों तक तेल वाला या मसालेदार खाना न खाएँ।","Uminom kayo ng maraming tubig at oral rehydration salts, at iwasan ninyo ang mamantika o maanghang na pagkain sa loob ng ilang araw.","Anh hãy uống nhiều nước và oresol, và tránh ăn đồ dầu mỡ hoặc đồ cay trong vài ngày."
"MED-010","patient","gastritis","I have a burning pain in my upper stomach, and it gets worse when I'm hungry.","Saya rasa sakit pedih di bahagian atas perut, dan ia bertambah teruk bila saya lapar.","என் மேல் வயிற்றில் எரிவது போன்ற வலி இருக்கிறது, பசியாக இருக்கும்போது அது அதிகமாகிறது.","我上腹有烧灼一样的痛，肚子饿的时候会更痛。","ကျွန်တော် ဗိုက်အပေါ်ပိုင်းမှာ ပူလောင်ပြီး နာတယ်၊ ဗိုက်ဆာရင် ပိုဆိုးလာတယ်။","ผมปวดแสบท้องส่วนบน แล้วจะปวดมากขึ้นเวลาหิว","Saya merasakan nyeri seperti terbakar di perut bagian atas, dan rasanya makin parah kalau saya lapar.","मेरे पेट के ऊपरी हिस्से में जलन वाला दर्द है, और भूख लगने पर यह बढ़ जाता है।","May mahapding pananakit po sa itaas na bahagi ng tiyan ko, at lumalala ito kapag gutom ako.","Tôi bị đau nóng rát ở phần bụng trên, và khi đói thì đau hơn."
"MED-011","patient","skin rash","There's an itchy red rash on my arms, and it started after I changed my soap.","Ada ruam merah yang gatal di lengan saya, dan ia bermula selepas saya tukar sabun.","என் கைகளில் அரிப்புடன் சிவப்புத் தடிப்பு இருக்கிறது, நான் சோப்பை மாற்றிய பிறகு அது ஆரம்பித்தது.","我的手臂上有很痒的红疹，是换了肥皂以后才开始的。","ကျွန်တော့် လက်မောင်းတွေမှာ ယားတဲ့ အနီရောင် အဖုအပိမ့်တွေ ထွက်နေတယ်၊ ဆပ်ပြာ ပြောင်းသုံးပြီးမှ စဖြစ်တာ။","ผมมีผื่นแดงคันขึ้นที่แขน และเริ่มเป็นหลังจากเปลี่ยนสบู่","Ada ruam merah yang gatal di lengan saya, dan itu mulai setelah saya ganti sabun.","मेरी बाँहों पर खुजली वाले लाल दाने हैं, और ये मेरे साबुन बदलने के बाद शुरू हुए।","May makating pulang pantal po sa mga braso ko, at nagsimula ito pagkatapos kong magpalit ng sabon.","Tôi bị nổi mẩn đỏ ngứa trên hai cánh tay, và bắt đầu bị sau khi tôi đổi xà phòng."
"MED-012","patient","back pain","I hurt my lower back while lifting a heavy box at work, and now I can't bend down.","Pinggang saya tercedera semasa saya mengangkat kotak yang berat di tempat kerja, dan sekarang saya tidak boleh membongkok.","வேலையில் ஒரு கனமான பெட்டியைத் தூக்கும்போது என் கீழ் முதுகில் காயம் ஏற்பட்டது, இப்போது என்னால் குனிய முடியவில்லை.","我在工作的时候搬一个很重的箱子，伤到了腰，现在不能弯腰。","အလုပ်မှာ လေးတဲ့ သေတ္တာတစ်လုံး မရင်း ကျွန်တော့် ခါးအောက်ပိုင်း နာသွားတယ်၊ အခု ကုန်းလို့ မရတော့ဘူး။","ผมเจ็บหลังส่วนล่างตอนยกกล่องหนักๆ ที่ทำงาน แล้วตอนนี้ก้มตัวไม่ได้","Punggung bawah saya cedera saat saya mengangkat kotak yang berat di tempat kerja, dan sekarang saya tidak bisa membungkuk.","काम पर एक भारी डिब्बा उठाते समय मेरी कमर के निचले हिस्से में चोट लग गई, और अब मैं झुक नहीं पा रहा हूँ।","Nasaktan po ang ibabang bahagi ng likod ko habang nagbubuhat ako ng mabigat na kahon sa trabaho, at ngayon hindi na ako makayuko.","Tôi bị đau lưng dưới lúc bê một thùng nặng ở chỗ làm, và bây giờ tôi không cúi xuống được."
"MED-013","patient","dizziness","I feel dizzy when I stand up quickly, and sometimes everything starts spinning.","Saya rasa pening bila saya berdiri dengan cepat, dan kadang-kadang semuanya mula berpusing.","நான் வேகமாக எழுந்து நிற்கும்போது எனக்குத் தலை சுற்றுகிறது, சில நேரங்களில் எல்லாம் சுற்ற ஆரம்பிக்கிறது.","我快速站起来的时候会头晕，有时候会天旋地转。","ကျွန်တော် မြန်မြန် မတ်တပ်ထရပ်ရင် ခေါင်းမူးတယ်၊ တစ်ခါတလေ အရာအားလုံး ချာချာလည်လာတယ်။","ผมเวียนหัวเวลาลุกขึ้นยืนเร็วๆ และบางครั้งทุกอย่างก็เริ่มหมุน","Saya merasa pusing saat saya berdiri dengan cepat, dan kadang-kadang semuanya mulai berputar.","जब मैं जल्दी से खड़ा होता हूँ तो मुझे चक्कर आता है, और कभी-कभी सब कुछ घूमने लगता है।","Nahihilo po ako kapag mabilis akong tumatayo, at kung minsan ay nagsisimulang umikot ang lahat.","Tôi bị chóng mặt khi đứng dậy nhanh, và đôi khi mọi thứ bắt đầu quay cuồng."
"MED-014","patient","chest pain (red flag)","I have a tight feeling in my chest, and it spreads to my left arm when I walk.","Saya rasa ketat di dada, dan ia merebak ke lengan kiri saya bila saya berjalan.","என் நெஞ்சில் இறுக்கமான உணர்வு இருக்கிறது, நான் நடக்கும்போது அது என் இடது கைக்குப் பரவுகிறது.","我胸口有紧绷的感觉，走路的时候会扩散到左手臂。","ကျွန်တော် ရင်ဘတ်ထဲမှာ ကျပ်နေသလို ခံစားရတယ်၊ လမ်းလျှောက်တဲ့အခါ ဘယ်ဘက်လက်မောင်းဆီကို ပျံ့သွားတယ်။","ผมรู้สึกแน่นหน้าอก และเวลาเดินจะร้าวไปที่แขนซ้าย","Saya merasa sesak di dada, dan rasanya menjalar ke lengan kiri saya saat saya berjalan.","मेरे सीने में जकड़न महसूस होती है, और जब मैं चलता हूँ तो यह मेरी बाईं बाँह तक फैल जाती है।","May paninikip po sa dibdib ko, at kumakalat ito sa kaliwang braso ko kapag naglalakad ako.","Tôi thấy tức ngực, và khi tôi đi bộ thì nó lan ra cánh tay trái."
